sentence1,sentence2,sentence2_masked,label,subjects,objects,ids,people,places
"Harry has visited Cohasset, Tony didn't visit Nathaniel",Tony didn't visit Nathaniel and Harry has visited Cohasset,Tony didn't visit Nathaniel [MASK] Harry has visited Cohasset,and,"Harry, Tony","Cohasset, Nathaniel","0, 1","Harry, Tony, Nathaniel",Cohasset
"Franklin didn't visit Concord, Albert didn't visit Benjamin",Albert didn't visit Benjamin and Franklin didn't visit Concord,Albert didn't visit Benjamin [MASK] Franklin didn't visit Concord,and,"Franklin, Albert","Concord, Benjamin","0, 1","Franklin, Albert, Benjamin",Concord
"Everett didn't visit Estes Park, Alfredo has visited Bill",Everett didn't visit Estes Park or Todd didn't visit Babylon,Everett didn't visit Estes Park [MASK] Todd didn't visit Babylon,or,"Everett, Alfredo, Todd","Estes Park, Bill, Babylon",0,"Everett, Alfredo, Bill, Todd","Estes Park, Babylon"
"Jeff has visited Arnold, Corey didn't visit James",Jeff has visited Arnold and Corey didn't visit James,Jeff has visited Arnold [MASK] Corey didn't visit James,and,"Jeff, Corey","Arnold, James","0, 1","Jeff, Corey, James, Arnold",
"Gordon has visited Warren, John didn't visit Lodi",John didn't visit Lodi and Gordon has visited Warren,John didn't visit Lodi [MASK] Gordon has visited Warren,and,"Gordon, John","Warren, Lodi","0, 1","Gordon, John, Warren",Lodi
"Mark has visited Wahpeton, Christopher didn't visit Randall",Thomas didn't visit Max or Christopher didn't visit Randall,Thomas didn't visit Max [MASK] Christopher didn't visit Randall,or,"Mark, Christopher, Thomas","Wahpeton, Randall, Max",1,"Mark, Christopher, Randall, Thomas",Wahpeton
"Warren has visited Rafael, Andy didn't visit Opelika",Warren has visited Rafael or Jeff didn't visit Lake Geneva,Warren has visited Rafael [MASK] Jeff didn't visit Lake Geneva,or,"Warren, Andy, Jeff","Rafael, Opelika, Lake Geneva",0,"Warren, Andy, Rafael, Jeff","Lake Geneva, Opelika"
"Anthony has visited Jesus, Matthew has visited Woburn",Matthew has visited Woburn and Anthony has visited Jesus,Matthew has visited Woburn [MASK] Anthony has visited Jesus,and,"Anthony, Matthew","Jesus, Woburn","0, 1","Anthony, Matthew, Jesus",Woburn
"Joe has visited Leon, Kurt has visited Washington",Joe has visited Leon or Walter didn't visit Concord,Joe has visited Leon [MASK] Walter didn't visit Concord,or,"Joe, Kurt, Walter","Leon, Washington, Concord",0,"Joe, Kurt, Leon, Walter","Washington, Concord"
"Shane didn't visit Casey, Ryan has visited Orono",Shane didn't visit Casey or Micheal didn't visit Brent,Shane didn't visit Casey [MASK] Micheal didn't visit Brent,or,"Shane, Ryan, Micheal","Casey, Orono, Brent",0,"Shane, Ryan, Casey, Micheal",Orono
"Jamie has visited Dennis, Rafael has visited Pacific Grove",Jamie has visited Dennis or Joe has visited Big Spring,Jamie has visited Dennis [MASK] Joe has visited Big Spring,or,"Jamie, Rafael, Joe","Dennis, Pacific Grove, Big Spring",0,"Jamie, Rafael, Dennis, Joe","Big Spring, Pacific Grove"
"Marshall didn't visit Charlie, Edgar didn't visit Caldwell",Albert has visited Plymouth or Edgar didn't visit Caldwell,Albert has visited Plymouth [MASK] Edgar didn't visit Caldwell,or,"Marshall, Edgar, Albert","Charlie, Caldwell, Plymouth",1,"Marshall, Edgar, Charlie, Albert","Plymouth, Caldwell"
"Marcus didn't visit Newton, Harry has visited Jesse",Marcus didn't visit Newton or Jesus has visited Vernon,Marcus didn't visit Newton [MASK] Jesus has visited Vernon,or,"Marcus, Harry, Jesus","Newton, Jesse, Vernon",0,"Marcus, Harry, Jesse, Jesus",Newton
"Alexander has visited Summersville, Kevin didn't visit Lewis",Kevin didn't visit Lewis and Alexander has visited Summersville,Kevin didn't visit Lewis [MASK] Alexander has visited Summersville,and,"Alexander, Kevin","Summersville, Lewis","0, 1","Alexander, Kevin, Lewis",Summersville
"Jared didn't visit Pullman, Franklin didn't visit Joel",Jared didn't visit Pullman and Franklin didn't visit Joel,Jared didn't visit Pullman [MASK] Franklin didn't visit Joel,and,"Jared, Franklin","Pullman, Joel","0, 1","Jared, Franklin, Joel",Pullman
"Edwin didn't visit Larry, Angel has visited Kellogg",Edwin didn't visit Larry or Jaime has visited Staunton,Edwin didn't visit Larry [MASK] Jaime has visited Staunton,or,"Edwin, Angel, Jaime","Larry, Kellogg, Staunton",0,"Edwin, Angel, Larry, Jaime","Kellogg, Staunton"
"Dustin has visited Lester, Jorge has visited Malden",Jorge has visited Malden and Dustin has visited Lester,Jorge has visited Malden [MASK] Dustin has visited Lester,and,"Dustin, Jorge","Lester, Malden","0, 1","Dustin, Jorge, Lester",Malden
"Enrique has visited Kenneth, Jeffrey has visited Todd",Leon has visited Corey or Jeffrey has visited Todd,Leon has visited Corey [MASK] Jeffrey has visited Todd,or,"Enrique, Jeffrey, Leon","Kenneth, Todd, Corey",1,"Enrique, Jeffrey, Kenneth, Todd, Leon",
"Herman didn't visit Harry, Leo didn't visit Havre",Leo didn't visit Havre or Michael has visited Rick,Leo didn't visit Havre [MASK] Michael has visited Rick,or,"Herman, Leo, Michael","Harry, Havre, Rick",1,"Herman, Leo, Harry, Michael",Havre
"Gene didn't visit Jaime, Rick didn't visit Somerville",Gene didn't visit Jaime and Rick didn't visit Somerville,Gene didn't visit Jaime [MASK] Rick didn't visit Somerville,and,"Gene, Rick","Jaime, Somerville","0, 1","Gene, Rick, Jaime",Somerville
"Andre has visited Johnnie, Roy didn't visit Fred",Roy didn't visit Fred or Marcus didn't visit Raul,Roy didn't visit Fred [MASK] Marcus didn't visit Raul,or,"Andre, Roy, Marcus","Johnnie, Fred, Raul",1,"Andre, Roy, Fred, Johnnie, Marcus",
"Anthony has visited Lake Geneva, Clayton has visited William",Micheal has visited New York or Clayton has visited William,Micheal has visited New York [MASK] Clayton has visited William,or,"Anthony, Clayton, Micheal","Lake Geneva, William, New York",1,"Anthony, Clayton, William, Micheal","Lake Geneva, New York"
"Mario didn't visit Waterford, Brandon didn't visit Neil",Mario didn't visit Waterford or Clifford didn't visit El Monte,Mario didn't visit Waterford [MASK] Clifford didn't visit El Monte,or,"Mario, Brandon, Clifford","Waterford, Neil, El Monte",0,"Mario, Brandon, Neil, Clifford","El Monte, Waterford"
"Warren has visited Crossett, Micheal has visited Los Alamos",Micheal has visited Los Alamos and Warren has visited Crossett,Micheal has visited Los Alamos [MASK] Warren has visited Crossett,and,"Warren, Micheal","Crossett, Los Alamos","0, 1","Warren, Micheal","Los Alamos, Crossett"
"Cody didn't visit Vicksburg, Bryan has visited Hayward",Bryan has visited Hayward or Isaac didn't visit Charlie,Bryan has visited Hayward [MASK] Isaac didn't visit Charlie,or,"Cody, Bryan, Isaac","Vicksburg, Hayward, Charlie",1,"Cody, Bryan, Isaac","Hayward, Vicksburg"
"Timothy has visited Pullman, Fred didn't visit Gastonia",Fred didn't visit Gastonia or Thomas didn't visit Dale,Fred didn't visit Gastonia [MASK] Thomas didn't visit Dale,or,"Timothy, Fred, Thomas","Pullman, Gastonia, Dale",1,"Timothy, Fred, Thomas","Gastonia, Pullman"
"Leslie didn't visit Bellows Falls, Andre has visited Bellevue",Leslie didn't visit Bellows Falls and Andre has visited Bellevue,Leslie didn't visit Bellows Falls [MASK] Andre has visited Bellevue,and,"Leslie, Andre","Bellows Falls, Bellevue","0, 1","Leslie, Andre","Bellevue, Bellows Falls"
"Michael has visited Lloyd, Carl didn't visit Brunswick",Michael has visited Lloyd and Carl didn't visit Brunswick,Michael has visited Lloyd [MASK] Carl didn't visit Brunswick,and,"Michael, Carl","Lloyd, Brunswick","0, 1","Michael, Carl, Lloyd",Brunswick
"Howard has visited Aaron, Troy has visited Williston",Mark didn't visit Harlem or Troy has visited Williston,Mark didn't visit Harlem [MASK] Troy has visited Williston,or,"Howard, Troy, Mark","Aaron, Williston, Harlem",1,"Howard, Troy, Aaron, Mark","Harlem, Williston"
"Samuel has visited Tyrone, Thomas didn't visit Mark",Samuel has visited Tyrone or Sergio has visited Leroy,Samuel has visited Tyrone [MASK] Sergio has visited Leroy,or,"Samuel, Thomas, Sergio","Tyrone, Mark, Leroy",0,"Samuel, Thomas, Mark, Tyrone, Sergio",
"Byron didn't visit Roy, Bryan didn't visit Weatherford",Joel didn't visit Ted or Bryan didn't visit Weatherford,Joel didn't visit Ted [MASK] Bryan didn't visit Weatherford,or,"Byron, Bryan, Joel","Roy, Weatherford, Ted",1,"Byron, Bryan, Roy, Joel",Weatherford
"Dave didn't visit Calvin, Stephen didn't visit Phillip",Stephen didn't visit Phillip and Dave didn't visit Calvin,Stephen didn't visit Phillip [MASK] Dave didn't visit Calvin,and,"Dave, Stephen","Calvin, Phillip","0, 1","Dave, Stephen, Calvin, Phillip",
"Kenneth has visited Chester, Terrence has visited Vinita",Terrence has visited Vinita or Byron has visited Barre,Terrence has visited Vinita [MASK] Byron has visited Barre,or,"Kenneth, Terrence, Byron","Chester, Vinita, Barre",1,"Kenneth, Terrence, Chester, Byron","Barre, Vinita"
"Dustin has visited Greenville, Wesley didn't visit Albert",Wesley didn't visit Albert or Salvador didn't visit Middlesboro,Wesley didn't visit Albert [MASK] Salvador didn't visit Middlesboro,or,"Dustin, Wesley, Salvador","Greenville, Albert, Middlesboro",1,"Dustin, Wesley, Albert, Salvador","Middlesboro, Greenville"
"Matthew didn't visit Alamogordo, Victor has visited Elmer",Victor has visited Elmer and Matthew didn't visit Alamogordo,Victor has visited Elmer [MASK] Matthew didn't visit Alamogordo,and,"Matthew, Victor","Alamogordo, Elmer","0, 1","Matthew, Victor, Elmer",Alamogordo
