sentence1,sentence2,sentence2_masked,label,subjects,objects,ids,people,places
"Sean didn't visit Allan, Brett has visited Billings.",someone has visited Billings,[MASK] has visited Billings,someone,"Sean, Brett","Allan, Billings",1,"Sean, Brett, Allan",Billings
"Derek didn't visit Springfield, everyone has visited Tyler.",it's false that everyone has visited Springfield,it's false that [MASK] has visited Springfield,everyone,Derek,"Springfield, Tyler",0,"Derek, Tyler",Springfield
"everyone has visited Lancaster, Elmer didn't visit Mathew.",it's false that everyone has visited Mathew,it's false that [MASK] has visited Mathew,everyone,Elmer,"Lancaster, Mathew",1,"Elmer, Mathew",Lancaster
"Matthew didn't visit Marc, everyone didn't visit Manti.",it's false that everyone has visited Marc,it's false that [MASK] has visited Marc,everyone,Matthew,"Marc, Manti",0,"Matthew, Marc",Manti
"Bruce has visited Gardiner, Zachary didn't visit Brian.",someone didn't visit Brian,[MASK] didn't visit Brian,someone,"Bruce, Zachary","Gardiner, Brian",1,"Bruce, Zachary, Brian",Gardiner
"Wallace has visited Ivan, Carlos didn't visit Bryan.",it's false that everyone has visited Bryan,it's false that [MASK] has visited Bryan,everyone,"Wallace, Carlos","Ivan, Bryan",1,"Wallace, Carlos, Bryan, Ivan",
"Leroy didn't visit Enid, Allan has visited Weymouth.",someone didn't visit Enid,[MASK] didn't visit Enid,someone,"Leroy, Allan","Enid, Weymouth",0,"Leroy, Allan","Weymouth, Enid"
"Clayton has visited East Hampton, Mitchell didn't visit Brent.",it's false that everyone has visited Brent,it's false that [MASK] has visited Brent,everyone,"Clayton, Mitchell","East Hampton, Brent",1,"Clayton, Mitchell, Brent",East Hampton
"everyone has visited Ramon, everyone has visited Jacksonville.",it's false that someone didn't visit Jacksonville,it's false that [MASK] didn't visit Jacksonville,someone,,"Ramon, Jacksonville",1,Ramon,Jacksonville
"Julio didn't visit Dwight, everyone didn't visit Winston-Salem.",it's false that everyone has visited Dwight,it's false that [MASK] has visited Dwight,everyone,Julio,"Dwight, Winston-Salem",0,"Julio, Dwight",Winston-Salem
